SIREN,SIRET,Nom société,Enseigne,Catégorie entreprise,Forme juridique,Date création,Code NAF,Libellé NAF,Tranche effectifs,Adresse,Code postal,Ville,Site web,Email générique,Téléphone standard,Nom dirigeant,Prénom dirigeant,Fonction dirigeant,Email dirigeant,Téléphone dirigeant,LinkedIn dirigeant,LinkedIn société,Spécialité Santé,Spécialité Prévoyance,Spécialité IARD,Spécialité Auto,Spécialité RC Pro,Spécialité Entreprises,Spécialité Collectives,Spécialité Particuliers,Nb collaborateurs estimé,Niveau digitalisation,ICP Score,Priorité,Potentiel,Statut prospection,Canal,Date premier contact,Dernier contact,Relance prévue,Démo réalisée,Proposition envoyée,Closing estimé,Notes
394362032,39436203200010,,,PME,1000,1994-02-01,66.22Z,66.22Y,01,10 RUE CHICOGNE,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394628788,39462878800025,,AXA,PME,1000,1994-05-09,66.22Z,66.22Y,01,17 RUE DU GENERAL DE GAULLE,56140,MALESTROIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394772008,39477200800097,,,PME,1000,1992-01-01,66.22Z,66.22Y,NN,19 RUE DE CHATILLON,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395011406,39501140600042,,,PME,1000,1994-04-01,66.22Z,66.22Y,01,9 RUE DE LA MADELEINE,22130,PLANCOET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395301344,39530134400036,,,PME,1000,1994-05-27,66.22Z,66.22Y,NN,4  BEL AIR,35760,SAINT-GREGOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395376148,39537614800023,ARMOR ASSURANCES ASSOCIES,,PME,5499,1994-05-31,66.22Z,66.22Y,NN,30 BOULEVARD DE LA TOUR D'AUVERGNE,22000,SAINT-BRIEUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397687377,39768737700010,CABINET GUIHOT LEFEUVRE,,PME,2310,1994-07-01,66.22Z,66.22Y,NN,4 RUE DES AUGUSTINS,22400,LAMBALLE-ARMOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397701822,39770182200025,,CABINET LE FLOCH GILBERT,PME,1000,1994-05-02,66.22Z,66.22Y,01,7 RUE DE MELLAC,29300,QUIMPERLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397908542,39790854200020,,,PME,1000,1994-07-25,66.22Z,66.22Y,NN,2 RUE DE PICARDIE,22440,PLOUFRAGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398131433,39813143300011,,,PME,1000,1994-08-01,66.22Z,66.22Y,NN,11 RUE DE KERGARET,29480,LE RELECQ-KERHUON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398319772,39831977200024,,,PME,1000,1994-04-13,66.22Z,66.22Y,NN,2 RUE SAINT YVES,29290,SAINT-RENAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398499053,39849905300013,,,PME,1000,1994-10-01,66.22Z,66.22Y,NN,76 RUE DE CHATILLON,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398523373,39852337300023,,,PME,1000,1994-10-03,66.22Z,66.22Y,NN,1 PL DUCLOS,22100,DINAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398627398,39862739800041,VALEAS ASSURANCES,,PME,5499,1994-10-14,66.22Z,66.22Y,11,19 RUE DE CHATILLON,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398677815,39867781500043,,,PME,1000,1994-10-10,66.22Z,66.22Y,NN,98 RUE DE L'ALMA,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398833541,39883354100053,,,PME,1000,1994-07-01,66.22Z,66.22Y,NN,1 AVENUE GEORGES CLEMENCEAU,29200,BREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398833541,39883354100079,,,PME,1000,1994-07-01,66.22Z,66.22Y,NN,24 RUE GENERAL DE GAULLE,29260,LESNEVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398833541,39883354100103,,,PME,1000,1994-07-01,66.22Z,66.22Y,NN,63 QUAI DE CORNOUAILLE,29800,LANDERNEAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399841691,39984169100021,,,PME,1000,1993-11-01,66.22Z,66.22Y,01,8 RUE NATIONALE,35410,CHATEAUGIRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400653531,40065353100022,RMS COURTAGE,,PME,5499,1995-03-01,66.22Z,66.22Y,11,13 BOULEVARD MAGENTA,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400653531,40065353100048,RMS COURTAGE,,PME,5499,1995-03-01,66.22Z,66.22Y,11,24 QUAI DE LA DOUANE,29200,BREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400797965,40079796500037,ASSURANCES INVESTISSEMENTS PLACEMENTS,,PME,5499,1995-04-01,66.22Z,66.22Y,NN,7 RUE JEAN MACE,35700,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400976064,40097606400016,,,PME,1000,1995-05-12,66.22Z,66.22Y,NN,LE SAINT ESPRIT,22100,DINAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401088018,40108801800023,,,PME,1000,1995-04-01,66.22Z,66.22Y,02,45 RUE DE LA CHATAIGNERAIE,56220,ROCHEFORT-EN-TERRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401088018,40108801800031,,,PME,1000,1995-04-01,66.22Z,66.22Y,02,4 PL DE L HOTEL DE VILLE,56190,MUZILLAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401174156,40117415600018,,,PME,1000,1992-01-01,66.22Z,66.22Y,NN,L'EPINETTE,35140,RIVES-DU-COUESNON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402007009,40200700900010,,,PME,1000,1995-08-01,66.22Z,66.22Y,NN,9 RUE DE LA TOUR D'AUVERGNE,29000,QUIMPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402436018,40243601800012,,,PME,1000,1993-05-02,66.22Z,66.22Y,NN,120 BD DE LA GARE,35480,GUIPRY-MESSAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402596514,40259651400024,,,PME,1000,1995-10-01,66.22Z,66.22Y,NN,5 RUE EMILE MAZE,56160,GUEMENE-SUR-SCORFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403025539,40302553900038,SM PATRIMOINE,,PME,5499,1995-11-01,66.22Z,66.22Y,01,2 RUE DES RAINETTES,56860,SENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
